Mw,Liq,Crit. Depth,Depthto,Svo,Esvo,Amax,rd,VS1,CSR,DWF,CSR*,Pl,CRR
6.9,Yes,2.35,1.5,36.73,28.39,0.36,0.95,175.5,0.29,1.122938002,0.258,1.407632866,0.144628151
6.9,Yes,2.35,1.5,36.73,28.39,0.36,0.95,155.8,0.29,1.122938002,0.258,2.588085486,0.080699601
6.9,Yes,2.9,0.8,50.05,29.45,0.5,0.94,216,0.52,1.122938002,0.463,0.487531802,0.408654007
6.9,Yes,2,0.8,33.4,21.63,0.29,0.96,141.7,0.28,1.122938002,0.249,3.136301482,0.059423485
6.9,Yes,2.85,0.8,49.13,29.02,0.5,0.94,167.1,0.52,1.122938002,0.463,4.305382035,0.061924566
6.9,Yes,2.65,1.5,42.28,31,0.36,0.95,195.2,0.3,1.122938002,0.267,0.101621473,0.28530438
6.2,NO,3.5,0.5,62.5,33.07,0.18,0.92,159.2,0.2,1.296288331,0.154,0.319697024,0.1707685
6.2,NO,3.5,0.5,62.5,33.07,0.18,0.92,159.2,0.2,1.296288331,0.154,0.319697024,0.1707685
6.2,NO,3.5,0.5,62.5,33.07,0.16,0.92,159.2,0.18,1.296288331,0.139,-0.106652661,0.189742778
6.6,NO,3.5,0.5,62.5,33.07,0.18,0.92,159.2,0.24,1.191964435,0.201,1.397677934,0.120282621
6.2,NO,3.5,0.5,62.5,33.07,0.04,0.92,159.2,0.05,1.296288331,0.039,-5.290053084,0.683074
6,NO,3.5,0.5,62.5,33.07,0.06,0.92,159.2,0.07,1.354603773,0.052,-4.106916124,0.532890721
